City_ID,City,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
275,asau,99,RO,1639907021,74,46.4333,26.4,5.22,4.13
276,moyale,95,KE,1639907022,50,3.5167,39.0584,27.11,5.83
277,severo-yeniseyskiy,14,RU,1639907023,99,60.3725,93.0408,-37.99,1.04
278,tuktoyaktuk,36,CA,1639907023,98,69.4541,-133.0374,-29.71,2.62
279,coihaique,73,CL,1639907024,81,-45.5752,-72.0662,13.34,1.03
280,nishihara,40,JP,1639907025,59,26.1842,127.7558,15.6,3.09
281,san andres,20,CO,1639907026,83,12.5847,-81.7006,27.01,4.12
282,sayyan,22,YE,1639907026,18,15.1718,44.3244,21.53,1.73
283,vila velha,90,BR,1639907027,86,-20.3297,-40.2925,23.3,1.79
284,penzance,72,GB,1639907028,84,50.1186,-5.5371,10.43,10.84
287,ust-omchug,77,RU,1639907030,100,61.15,149.6333,-41.6,1.01
288,vestmannaeyjar,75,IS,1639907031,93,63.4427,-20.2734,7.55,7.2
289,uvinza,96,TZ,1639907031,54,-5.1036,30.3911,28.4,2.48
290,katherine,79,AU,1639907032,43,-14.4667,132.2667,35.18,3.6
291,chimbote,65,PE,1639907033,93,-9.0853,-78.5783,18.06,2.57
292,misratah,69,LY,1639907034,48,32.3754,15.0925,14.36,10.06
293,freeport,90,US,1639907034,82,40.6576,-73.5832,7.79,4.02
294,vao,21,NC,1639907035,88,-22.6667,167.4833,25.11,7.58
295,itacare,99,BR,1639907036,86,-14.2775,-38.9967,24.7,1.6
296,tukrah,100,LY,1639907037,81,32.5341,20.5791,9.32,6.75
297,ugoofaaru,22,MV,1639907037,75,5.6667,73.0,27.59,3.54
298,talakan,98,RU,1639907038,100,50.3167,130.3667,-24.64,1.44
299,odweyne,53,SO,1639907039,30,9.4092,45.064,27.69,1.3
300,yar-sale,45,RU,1639907100,100,66.8333,70.8333,-33.21,3.55
301,makakilo city,1,US,1639907100,78,21.3469,-158.0858,23.18,2.57
302,sovetskiy,100,RU,1639907101,95,61.3614,63.5842,-17.15,4.04
303,hereford,19,GB,1639907102,96,52.0568,-2.7148,5.91,1.0
304,yumen,0,CN,1639907103,27,40.2833,97.2,-1.59,8.58
306,manzhouli,55,CN,1639907104,85,49.6,117.4333,-11.92,3.05
307,carauari,99,BR,1639907105,99,-4.8828,-66.8958,22.65,0.96
308,samana,58,DO,1639907106,72,19.2056,-69.3369,23.21,3.74
309,west plains,1,US,1639907106,83,36.7281,-91.8524,-1.54,1.79
310,hambantota,20,LK,1639907107,66,6.1241,81.1185,31.19,4.63
311,puerto ayacucho,88,VE,1639907108,89,5.6639,-67.6236,23.18,2.67
312,aras,90,ES,1639907109,100,42.5617,-2.356,0.24,1.03
314,denpasar,20,ID,1639907110,74,-8.65,115.2167,29.84,4.12
315,kula,100,TR,1639907111,73,38.5473,28.6498,4.06,3.7
316,calvinia,6,ZA,1639907111,37,-31.4707,19.776,26.35,2.07
317,isangel,90,VU,1639907112,89,-19.55,169.2667,27.06,1.54
318,linxia,87,CN,1639907113,47,35.6003,103.2064,-1.15,0.53
319,kharan,24,PK,1639907115,8,28.5833,65.4167,22.57,1.75
320,gizo,100,SB,1639907115,84,-8.103,156.8419,26.08,2.06
321,waipawa,33,NZ,1639907116,86,-41.4122,175.5153,16.35,3.62
322,the valley,6,AI,1639907117,70,18.217,-63.0578,26.17,11.51
323,camopi,98,GF,1639907118,100,3.1655,-52.3158,21.86,0.7
324,saldanha,53,ZA,1639907119,66,-33.0117,17.9442,25.03,3.1
325,bubaque,13,GW,1639907119,50,11.2833,-15.8333,24.96,8.55
327,pafos,75,CY,1639907121,67,34.7667,32.4167,16.95,10.29
328,ambon,91,ID,1639907121,74,-3.6954,128.1814,29.17,2.34
329,naze,10,JP,1639907122,55,28.3667,129.4833,13.51,5.38
330,tiznit,7,MA,1639907123,37,29.5833,-9.5,18.76,6.53
331,licheng,100,CN,1639907124,26,23.2955,113.8284,17.96,1.44
332,merrill,1,US,1639907124,85,45.1805,-89.6835,-8.32,0.0
333,xinzhi,100,CN,1639907125,37,36.4989,111.7047,2.96,1.13
334,mehamn,96,NO,1639907126,88,71.0357,27.8492,-2.57,6.18
335,lorengau,100,PG,1639907127,81,-2.0226,147.2712,28.06,5.35
336,kenai,20,US,1639907127,86,60.5544,-151.2583,-5.95,2.06
337,abu kamal,2,SY,1639907128,33,34.4506,40.9171,17.75,4.43
338,flin flon,100,CA,1639907129,92,54.7682,-101.865,-16.56,3.6
339,zalantun,5,CN,1639907130,85,48.0,122.7167,-14.1,2.46
340,roald,75,NO,1639907130,81,62.5833,6.1333,3.33,5.14
341,paamiut,100,GL,1639907131,81,61.994,-49.6678,0.45,4.42
342,mugur-aksy,52,RU,1639907132,66,50.35,90.5,-12.79,3.19
343,simao,11,CN,1639907133,69,22.7886,100.9748,15.82,1.08
344,hajos,15,HU,1639907133,66,46.3986,19.1206,6.15,7.84
345,portree,36,GB,1639907134,96,57.4129,-6.1942,3.07,2.18
346,komsomolets,87,KZ,1639907135,95,53.7453,62.0708,-5.59,3.0
347,sambava,37,MG,1639907136,64,-14.2667,50.1667,30.96,4.94
348,shahpura,0,IN,1639907137,11,27.3833,75.9667,20.63,3.48
349,glen avon,1,US,1639906882,49,34.0117,-117.4848,14.08,1.54
350,sao felix do xingu,100,BR,1639907198,100,-6.6447,-51.995,22.53,0.32
351,porto seguro,75,BR,1639907199,94,-16.4497,-39.0647,24.29,1.03
352,fomboni,80,KM,1639907199,68,-12.28,43.7425,27.6,0.54
353,narsaq,100,GL,1639907200,68,60.9167,-46.05,9.12,6.05
354,bacalar,46,MX,1639907201,96,18.6667,-88.3833,22.87,0.87
355,adrar,99,MR,1639907202,39,20.5022,-10.0711,23.49,7.11
356,zima,100,RU,1639907202,87,53.9202,102.0442,-10.22,4.66
357,kimbe,100,PG,1639907203,82,-5.5502,150.1429,25.85,0.93
358,nouadhibou,100,MR,1639907204,77,20.931,-17.0347,17.99,5.14
359,laguna,90,US,1639907205,95,38.421,-121.4238,7.09,1.54
360,vila praia de ancora,47,PT,1639907205,63,41.811,-8.8526,11.73,3.43
361,atar,100,MR,1639907206,53,20.5169,-13.0499,22.01,2.91
362,shebalino,100,RU,1639907207,85,51.2917,85.6772,-3.1,2.15
363,batagay-alyta,100,RU,1639907208,100,67.8006,130.4114,-29.46,0.38
364,filadelfia,90,US,1639907077,86,39.9523,-75.1638,9.08,2.24
365,airai,94,TL,1639907209,94,-8.9266,125.4092,18.2,0.35
366,deep river,87,CA,1639907129,75,46.1001,-77.4995,-10.14,3.56
367,havoysund,83,NO,1639907211,70,70.9963,24.6622,-2.51,6.81
368,termiz,74,UZ,1639907211,16,37.2242,67.2783,18.05,1.03
369,namibe,0,AO,1639907212,68,-15.1961,12.1522,23.35,3.6
370,takoradi,86,GH,1639907213,64,4.8845,-1.7554,29.17,3.47
371,mandera,99,KE,1639907214,41,3.9366,41.867,30.98,3.61
372,sembe,90,CG,1639907214,32,1.6481,14.5806,33.56,2.13
373,constantine,0,DZ,1639906922,87,36.365,6.6147,3.67,1.54
374,kruisfontein,26,ZA,1639907216,45,-34.0033,24.7314,28.82,5.48
375,antalaha,73,MG,1639907216,68,-14.9003,50.2788,29.77,4.67
376,tilichiki,11,RU,1639907217,96,60.4667,166.1,-26.6,2.72
377,te anau,99,NZ,1639907218,92,-45.4167,167.7167,13.9,3.98
378,fuquay-varina,100,US,1639907219,88,35.5843,-78.8,17.57,0.89
379,lexington,90,US,1639907043,81,37.9887,-84.4777,2.75,4.12
380,bela,0,IN,1639907220,24,25.9333,81.9833,19.55,5.1
381,richards bay,73,ZA,1639907221,65,-28.783,32.0377,22.37,4.22
382,quatre cocos,48,MU,1639907222,58,-20.2078,57.7625,30.06,3.0
383,moyobamba,100,PE,1639907222,99,-6.05,-76.9667,19.07,0.23
384,aguimes,20,ES,1639907223,64,27.9054,-15.4461,18.35,0.0
385,tual,80,ID,1639907224,69,-5.6667,132.75,29.38,1.12
386,honningsvag,79,NO,1639907225,67,70.9821,25.9704,-0.58,8.13
388,svarstad,10,NO,1639907226,32,59.399,9.9698,5.0,0.45
389,manicore,100,BR,1639907227,100,-5.8092,-61.3003,23.46,0.26
390,nadvoitsy,100,RU,1639907228,93,63.8667,34.3167,-11.62,4.37
392,nenjiang,79,CN,1639907229,99,49.1833,125.2167,-18.78,2.47
393,mizdah,61,LY,1639907230,51,31.4451,12.9801,11.64,4.87
394,constitucion,0,CL,1639907156,63,-35.3333,-72.4167,14.51,1.64
395,zabol,30,AF,1639907231,17,32.25,67.25,11.29,5.39
396,vila franca do campo,100,PT,1639907232,89,37.7167,-25.4333,15.11,5.26
397,zholymbet,100,KZ,1639907232,94,51.7433,71.7122,-1.87,6.25
398,milkovo,100,RU,1639907233,93,54.7167,158.6167,-18.72,0.97
399,nanakuli,1,US,1639907234,78,21.3906,-158.1547,23.97,2.57
400,faya,18,SA,1639907295,39,18.3851,42.4509,23.06,3.3
401,vetluzhskiy,100,RU,1639907295,94,58.3902,45.4654,-8.24,2.89
402,bonavista,100,CA,1639907296,74,48.6499,-53.1147,-4.38,13.81
403,verkhnyaya sinyachikha,100,RU,1639907297,94,57.976,61.6673,-6.5,3.08
404,gazanjyk,0,TM,1639907298,38,39.2446,55.5154,17.29,2.37
405,wanaka,100,NZ,1639907298,89,-44.7,169.15,12.1,3.96
406,chililabombwe,99,ZM,1639907299,67,-12.3648,27.8229,24.46,2.04
407,cordoba,0,AR,1639907126,76,-31.4135,-64.1811,23.2,0.45
408,livani,94,LV,1639907300,82,56.3543,26.1758,1.16,4.49
409,san jose,1,US,1639907145,79,37.3394,-121.895,8.48,0.0
410,whitianga,0,NZ,1639907302,83,-36.8333,175.7,15.57,3.58
411,alofi,20,NU,1639907303,83,-19.0595,-169.9187,25.94,4.12
412,peterhead,100,GB,1639907303,85,57.5058,-1.7981,4.22,4.29
413,mae hong son,20,TH,1639907304,42,19.3003,97.9685,29.08,1.54
414,dehloran,18,IR,1639907305,71,32.6941,47.2679,17.87,4.58
415,bilma,5,NE,1639907306,20,18.6853,12.9164,19.8,6.48
416,kiruna,75,SE,1639907306,93,67.8557,20.2251,-3.49,3.6
417,ulladulla,100,AU,1639907307,66,-35.35,150.4667,25.61,4.73
418,kutum,87,SD,1639907308,21,14.2,24.6667,21.57,3.37
419,ranot,100,TH,1639907309,83,7.7777,100.3213,25.31,4.15
420,san luis,0,AR,1639907309,47,-33.295,-66.3356,24.37,3.4
421,samarai,41,PG,1639907310,72,-10.6167,150.6667,27.86,3.9
422,geraldton,0,AU,1639907311,64,-28.7667,114.6,23.23,9.77
423,talaya,85,RU,1639907312,100,61.3833,152.75,-42.42,0.7
424,edd,5,ER,1639907313,48,13.9297,41.6925,31.15,7.65
425,mogadishu,75,SO,1639907193,74,2.0371,45.3438,30.93,9.26
426,shelburne,99,CA,1639907314,89,44.0787,-80.2041,-4.58,4.1
427,broome,90,US,1639907315,77,42.2506,-75.833,-0.46,2.24
428,morros,100,BR,1639907315,84,-9.4467,-46.3003,23.55,0.42
429,ancud,17,CL,1639907316,95,-41.8697,-73.8203,12.46,1.67
430,pacific grove,75,US,1639907251,86,36.6177,-121.9166,9.78,0.45
431,ketchikan,1,US,1639907317,80,55.3422,-131.6461,-1.74,3.6
432,urengoy,52,RU,1639907318,99,65.9667,78.3667,-41.5,2.07
433,nong chik,100,TH,1639907319,92,6.8436,101.178,23.21,1.85
434,raudeberg,100,NO,1639907320,80,61.9875,5.1352,3.37,4.02
435,port-cartier,100,CA,1639907320,83,50.0334,-66.8654,-14.03,2.08
438,blacksburg,90,US,1639907035,80,37.2296,-80.4139,10.09,2.06
439,vilhena,75,BR,1639907323,100,-12.7406,-60.1458,22.12,4.63
440,sainte-rose,20,GP,1639907324,94,16.3324,-61.6979,23.43,1.03
441,quelimane,75,MZ,1639907325,83,-17.8786,36.8883,24.97,5.36
442,lodja,88,CD,1639907325,41,-3.4833,23.4333,32.92,2.25
